"dota"
{
%(strings)s	"WL_shop_item_scourge_incarnation"	"Scourge Incarnation"
	"WL_shop_item_scourge_incarnation_description"	"Upgrades scourge to deal 10/20 more damage and recover 20/30 DP for each opponent struck"
	"WL_shop_item_redirector"	"Redirector"
	"WL_shop_item_redirector_description"	"Changes the direction of the missile closest to your target towards it and increases its lifetime by 0.5 seconds but increases your knockback vulnerability by 30 percent for 8 seconds"
	"WL_shop_mastery_duration" "Duration mastery"
	"WL_shop_mastery_duration_description" "Passively grants 10/18/25/31/36/40 percent additional duration to all duration spells"
	"WL_shop_mastery_range" "Range mastery"
	"WL_shop_mastery_range_description" "Passively grants 12/22/31/39/46/52 percent additional range to all missile spells"
	"WL_shop_mastery_life_steal" "Life steal mastery"
	"WL_shop_mastery_life_steal_description" "Passively grants 9/17/24/30/35/39 percent life steal (half the life stolen goes to DP reduction)"
	"WL_shop_mastery_jack_of_all_trades" "Jack of all trades"
	"WL_shop_mastery_jack_of_all_trades_description" "Increases the level of all masteries at 2 gold discount"
	"WL_shop_open" "Open Shop"
	"WL_shop_close" "Close Shop"
	"WL_shop_masteries" "Masteries"
	"WL_shop_spells" "Spells"
	"WL_shop_items" "Items"
	"WL_setup_players" "Players"
	"WL_setup_player_name" "Player Name"
	"WL_setup_team" "Team"
	"WL_setup_wait_for_host" "Waiting for the host to start the game for up to one minute."
	"WL_setup_you_are_host" "You are the host!"
	"WL_setup_choose_settings" "Choose the settings and start the game within one minute."
	"WL_setup_modes" "Modes"
	"WL_setup_team_mode" "Team Mode:"
	"WL_setup_mode" "Mode:"
	"WL_setup_win_condition" "Win condition:"
	"WL_setup_max_rounds_or_score" "Max Rounds/Score:"
	"WL_setup_round_gold" "Round Gold:"
	"WL_setup_start_gold" "Start Gold:"
	"WL_setup_kill_gold" "Kill Gold:"
	"WL_setup_win_gold" "Win Gold:"
	"WL_setup_bot_count" "Bot Count:"
	"WL_setup_bots_for_leavers" "Bots for leavers:"
	"WL_setup_start" "Start"
	"WL_setup_lava_dps" "Lava DPS"
	"WL_setup_knockback_multiplier" "Knockback Multiplier"
	"WL_setup_damage_multiplier" "Damage Multiplier"
	"WL_setup_physics_friction" "Physics Friction"
	"WL_setup_constants" "Constants"
	"WL_setup_tab_general" "General"
	"WL_setup_tab_constants" "Constants"
	"WL_scoreboard_name" "Name"
	"WL_scoreboard_kills" "Kills"
	"WL_scoreboard_deaths" "Deaths"
	"WL_scoreboard_score" "Score"
	"WL_scoreboard_damage" "Damage"
}
